thn,reviewer_id,persons,persons_count
2024,102927523626392127442,staf,1
2024,106247194940208616299,satpam,2
2024,104090644695832838641,dokter,1
2024,115352416883422101489,perawat,1
2024,115352416883422101489,pasien,4
2024,107351539776542693362,pasien,2
2024,106785158324364048259,petugas,1
2024,106785158324364048259,admin,1
2024,106785158324364048259,admin,1
2024,100774440955065619401,petugas,1
2024,100774440955065619401,admin,1
2024,100774440955065619401,admin,1
2024,111023910963116228719,pasien,1
2024,107148782884209052334,pasien,1
2024,107148782884209052334,petugas,2
2024,107148782884209052334,petugas kebersihan,2
2024,100297856870551219183,pasien,1
2024,100297856870551219183,dokter,1
2024,109732013136044039152,pasien,1
2024,109732013136044039152,petugas,1
2024,109732013136044039152,dokter,7
2024,100327349567805534706,karyawan,1
2024,106017614189714646736,admin,1
2024,106017614189714646736,admin,1
2024,117137125929391224386,perawat,4
2024,117137125929391224386,pasien,5
2024,117137125929391224386,petugas,1
2024,117137125929391224386,cleaning service,1
2024,117137125929391224386,staf,1
2024,117137125929391224386,bidan,1
2024,105481578666653461178,pegawai,1
2024,105481578666653461178,satpam,2
2024,111743500650516951058,perawat,2
2024,111743500650516951058,pasien,1
2024,111743500650516951058,dokter,3
2024,102969615521161536325,perawat,8
2024,102969615521161536325,pasien,3
2024,102969615521161536325,dokter,4
2024,114179515927112541239,pegawai,1
2024,112249754175570171296,pasien,1
2024,111881414491263026825,dokter,3
2024,111881414491263026825,dokter kulit,2
2024,101937676774445696285,pasien,1
2024,101937676774445696285,dokter,1
2024,110601399810918708698,staf,2
2024,113022219965204022995,pasien,3
2024,113022219965204022995,dokter,1
2024,103717664246242266963,perawat,1
2024,103717664246242266963,satpam,1
2024,103254227418725547597,satpam,1
2024,111709799879263175882,dokter,1
2024,116549425228912536402,pasien,1
2024,109255454588359690156,petugas,2
2024,118300444449374924590,dokter,1
2024,117458405869854776174,pasien,2
2024,117458405869854776174,dokter,2
2023,109738805015671418628,petugas,1
2023,109279755890634192326,pasien,1
2023,109279755890634192326,petugas,1
2023,110971408348543922786,petugas,1
2023,114208701206197333043,bidan,1
2023,101071036406426220351,pasien,1
2023,101071036406426220351,petugas,1
2023,101071036406426220351,admin,1
2023,101071036406426220351,admin,1
2023,102231868826116670173,pasien,1
2023,103997988766062068926,karyawan,1
2023,112378292280504501934,pasien,1
2023,112378292280504501934,dokter,2
2023,112378292280504501934,dokter bedah,1
2023,115026184298113423760,perawat,1
2023,115026184298113423760,pasien,1
2023,115026184298113423760,satpam,4
2023,117740550371304069593,satpam,3
2023,100319409334742373021,satpam,2
2023,108050444514261857663,dokter,1
2023,108050444514261857663,staf,1
2023,108230234616882802941,pegawai,1
2023,108230234616882802941,dokter,6
2023,116950231140885861315,perawat,1
2023,110748825498717029551,security,2
2023,106211562252654861841,perawat,1
2023,106211562252654861841,dokter,1
2023,115103986472773021282,pasien,4
2023,115103986472773021282,petugas,2
2023,115440328578655845740,pimpinan,2
2023,108896470047790010121,admin,1
2023,108896470047790010121,admin,1
2023,114323043613594998057,perawat,3
2023,114323043613594998057,pasien,4
2023,106567033244410579729,perawat,2
2023,106567033244410579729,pasien,1
2023,108876625121993832895,perawat,3
2023,108876625121993832895,pasien,1
2023,108876625121993832895,pimpinan,1
2023,110417248244804211834,pasien,6
2023,110417248244804211834,petugas,1
2023,110417248244804211834,satpam,1
2023,110417248244804211834,admin,1
2023,110417248244804211834,admin,1
2023,105950512062420623712,satpam,1
2023,104915728759216243160,pasien,2
2023,104915728759216243160,satpam,1
2023,107625691467941959732,satpam,1
2023,113490393694258903877,petugas,1
2023,113490393694258903877,kasir,1
2023,106060956508347371389,dokter,1
2023,112195911021512550168,perawat,1
2023,109251340143532229053,satpam,1
2023,114982531412357230956,pasien,1
2023,114982531412357230956,satpam,1
2023,102817891074172536315,dokter,1
2022,105925009865836467756,petugas,2
2022,118040617847261559610,staf,1
2022,104280266853157429561,pasien,1
2022,104280266853157429561,satpam,3
2022,104120321151403678814,satpam,1
2022,101084918003949124800,pasien,2
2022,101084918003949124800,satpam,1
2022,109866013066536980112,satpam,4
2022,115862552715548596716,satpam,1
2022,114181178966522322963,security,2
2022,116284830847523023230,pasien,1
2022,106607483068629868628,karyawan,1
2022,115906797717552235822,petugas,2
2022,115906797717552235822,dokter,2
2022,115906797717552235822,admin,6
2022,115906797717552235822,karyawan,2
2022,115906797717552235822,admin,6
2022,102210812292332533613,satpam,2
2022,103606573982587725474,petugas,1
2022,113778033118539229313,dokter,1
2022,113778033118539229313,staf,2
2022,110417019015756240801,admin,1
2022,110417019015756240801,admin,1
2022,108057827510554093440,perawat,1
2022,109042819161102852127,perawat,3
2022,109042819161102852127,pasien,1
2022,110805725132483763486,dokter,1
2021,106594199591075355593,perawat,1
2021,106594199591075355593,pasien,3
2021,117823214506222319186,pasien,1
2021,114701363718377074324,security,1
2021,116536804957520945568,pasien,2
2021,116080024614520056723,pasien,2
2021,109035535569864900816,admin,1
2021,109035535569864900816,admin,1
2021,105579912897897315408,perawat,1
2021,105579912897897315408,dokter,1
2021,105579912897897315408,staf,1
2021,112800432100623817357,bidan,2
2021,110505924935633522914,staf,2
2021,104865095786543201282,pegawai,1
2021,117309584748370827593,perawat,6
2021,117309584748370827593,dokter,2
2021,117309584748370827593,security,1
2021,117309584748370827593,suster,1
2021,103873638141811675200,dokter,1
2020,106852789102540335222,dokter,2
2020,106852789102540335222,dokter kulit,1
2020,106820596922136232308,petugas,1
2020,106820596922136232308,dokter,3
2020,103789469752375244721,perawat,2
2020,118119345714993606214,perawat,1
2020,104510261359803942589,petugas,1
2020,115030515365060913761,pasien,1
2020,106932095060046986497,perawat,1
2020,106932095060046986497,pasien,1
2020,106932095060046986497,dokter,1
2020,106932095060046986497,staf,1
2020,106922725592613739534,pasien,2
2020,107711627019236916773,pasien,1
2020,102714247273428406064,petugas,1
2019,103691185843673608139,pasien,1
2019,108959930116487542939,staf,2
2019,114670752107671002490,cleaning service,1
2019,115249135033133627090,petugas,1
2019,107396628862417932720,staf,1
2019,117237824959763901776,staf,1
2018,111739838539145709844,pasien,2
2018,102802181730713733606,pasien,1
2018,111611313198432405383,perawat,1
2018,111611313198432405383,pasien,2
2018,111611313198432405383,dokter,1
2018,103684110000024205021,pasien,1
2018,110926769159927567004,perawat,1
2018,110926769159927567004,dokter,1
2018,110926769159927567004,staf,1
2018,111145169295800055138,dokter spesialis,1
2018,111145169295800055138,dokter,1
2018,116753172250149217340,perawat,1
2018,116753172250149217340,dokter spesialis,1
2018,116753172250149217340,pasien,1
2018,116753172250149217340,dokter,2
2018,116753172250149217340,karyawan,1
2018,102587589896331623280,petugas,1
2018,102587589896331623280,dokter,2
2018,102587589896331623280,security,1
2017,101009388156704028679,perawat,1
2017,110168762925732536319,staf,2
2017,104175981032797127103,perawat,1
2017,110047937336279038100,dokter,1
2017,110047937336279038100,staf,2
2016,106065866235192761001,dokter spesialis,1
2016,106065866235192761001,dokter,1
2015,117800806952580154456,perawat,2
2015,117800806952580154456,dokter,1
