2025-04-07 11:46:42,127.0.0.1,http://localhost:5000/chart_data_pengaduan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:42,127.0.0.1,http://localhost:5000/chart_data_pengaduan_perbulan,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:43,127.0.0.1,http://localhost:5000/chart_data_topik_pengaduan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:43,127.0.0.1,http://localhost:5000/chart_data_sumber_pengaduan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:49,127.0.0.1,http://localhost:5000/overview,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:50,127.0.0.1,http://localhost:5000/chart_total_rating,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_reviewer,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_data_ulasan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_data_rating_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_sumber_pengaduan,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_data_pengaduan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_data_pengaduan_perbulan,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:51,127.0.0.1,http://localhost:5000/chart_data_topik_pengaduan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:46:52,127.0.0.1,http://localhost:5000/chart_data_sumber_pengaduan_pertahun,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:49:37,127.0.0.1,http://localhost:5000/persons,http://localhost:5000/overview,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:49:41,127.0.0.1,http://localhost:5000/person_review?person=admin,http://localhost:5000/persons,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36 Edg/135.0.0.0"
2025-04-07 11:55:12,192.168.1.105,http://192.168.1.108:5000/,Langsung (direct),"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:15,192.168.1.105,http://192.168.1.108:5000/chart_reviewer,http://192.168.1.108:5000/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
6"
2025-04-07 11:55:15,192.168.1.105,http://192.168.1.108:5000/chart_data_ulasan_pertahun,http://192.168.1.108:5000/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:15,192.168.1.105,http://192.168.1.108:5000/chart_data_rating_pertahun,http://192.168.1.108:5000/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:15,192.168.1.105,http://192.168.1.108:5000/chart_sumber_pengaduan,http://192.168.1.108:5000/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:23,192.168.1.105,http://192.168.1.108:5000/settings.html,http://192.168.1.108:5000/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:27,192.168.1.105,http://192.168.1.108:5000/about,http://192.168.1.108:5000/,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:28,192.168.1.105,http://192.168.1.108:5000/chart_reviewer,http://192.168.1.108:5000/about,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:28,192.168.1.105,http://192.168.1.108:5000/chart_data_ulasan_pertahun,http://192.168.1.108:5000/about,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
2025-04-07 11:55:28,192.168.1.105,http://192.168.1.108:5000/chart_total_rating,http://192.168.1.108:5000/about,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36"
